,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
1231,20:00 - 21:00,125.07,0.2,124.87,125.28,124.74,20283.0,N.A.
1232,21:00 - 22:00,125.06,-0.01,125.07,125.18,124.95,16971.0,N.A.
1233,22:00 - 23:00,125.16,0.1,125.06,125.2,125.04,16173.0,N.A.
1234,23:00 - 00:00,125.45,0.29,125.16,125.46,125.16,16430.0,N.A.
1236,00:00 - 01:00,125.17,-0.28,125.45,125.46,125.03,18661.0,N.A.
1237,01:00 - 02:00,125.24,0.07,125.17,125.66,125.12,21050.0,N.A.
1238,02:00 - 03:00,125.17,-0.07,125.24,125.44,124.94,26589.0,N.A.
1239,03:00 - 04:00,125.5,0.33,125.17,125.51,125.04,26308.0,N.A.
1240,04:00 - 05:00,125.15,-0.35,125.5,125.66,125.14,28764.0,N.A.
1241,05:00 - 06:00,124.71,-0.44,125.15,125.27,124.69,25656.0,N.A.
1242,06:00 - 07:00,125.0,0.29,124.7,125.12,124.7,30183.0,N.A.
1243,07:00 - 08:00,125.11,0.11,125.0,125.12,124.77,25699.0,N.A.
1244,08:00 - 09:00,125.51,0.4,125.11,125.7,125.04,31766.0,N.A.
1245,09:00 - 10:00,125.84,0.33,125.51,126.05,125.4,28140.0,N.A.
1246,10:00 - 11:00,125.62,-0.22,125.84,125.96,125.51,27597.0,N.A.
1247,11:00 - 12:00,125.47,-0.15,125.62,125.69,125.38,26409.0,N.A.
1248,12:00 - 13:00,125.24,-0.23,125.47,125.55,125.24,23862.0,N.A.
1249,13:00 - 14:00,125.2,-0.04,125.24,125.62,125.06,23555.0,N.A.
1250,14:00 - 15:00,124.98,-0.22,125.2,125.2,124.65,25538.0,N.A.
1251,15:00 - 16:00,125.11,0.13,124.98,125.16,124.81,18106.0,N.A.
1252,16:00 - 17:00,125.13,0.02,125.11,125.17,124.95,15035.0,N.A.
1253,17:00 - 18:00,125.18,0.05,125.13,125.21,125.06,9199.0,N.A.
1254,18:00 - 19:00,125.4,0.22,125.18,125.43,125.09,12274.0,N.A.
1255,19:00 - 20:00,125.61,0.21,125.4,125.65,125.23,15495.0,N.A.
1256,20:00 - 21:00,125.63,0.02,125.61,125.71,125.41,18573.0,N.A.
1257,21:00 - 22:00,125.28,-0.35,125.63,125.64,125.08,19852.0,N.A.
1258,22:00 - 23:00,125.08,-0.2,125.28,125.31,124.97,14460.0,N.A.
