,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
215,00:00 - 01:00,1.5133,-0.0008,1.5141,1.5143,1.5132,33392.0,N.A.
216,01:00 - 02:00,1.5141,0.0008,1.5133,1.5143,1.5133,36942.0,N.A.
217,02:00 - 03:00,1.515,0.0009,1.5141,1.5157,1.5139,54079.0,N.A.
218,03:00 - 04:00,1.5164,0.0014,1.515,1.5168,1.5146,77850.0,N.A.
219,04:00 - 05:00,1.5136,-0.0028,1.5164,1.5167,1.5136,82780.0,N.A.
220,05:00 - 06:00,1.5156,0.002,1.5136,1.5162,1.5126,78585.0,N.A.
221,06:00 - 07:00,1.515,-0.0006,1.5156,1.5156,1.5127,78715.0,N.A.
222,07:00 - 08:00,1.5164,0.0014,1.515,1.5174,1.5144,75459.0,N.A.
223,08:00 - 09:00,1.5165,0.0001,1.5164,1.5171,1.515,83001.0,N.A.
224,09:00 - 10:00,1.5219,0.0054,1.5165,1.5230000000000001,1.5165,146535.0,N.A.
225,10:00 - 11:00,1.5212,-0.0007,1.5219,1.5224,1.52,117304.0,N.A.
226,11:00 - 12:00,1.5211,-0.0001,1.5212,1.5219999999999998,1.5203,97178.0,N.A.
227,12:00 - 13:00,1.5216,0.0005,1.5211,1.5226,1.5204,78464.0,N.A.
228,13:00 - 14:00,1.5219,0.0003,1.5216,1.5223,1.5212,66900.0,N.A.
229,14:00 - 15:00,1.5229,0.001,1.5219,1.524,1.5218,64970.0,N.A.
230,15:00 - 16:00,1.5226,-0.0003,1.5229,1.5230000000000001,1.5219999999999998,52938.0,N.A.
231,16:00 - 17:00,1.5213,-0.0013,1.5226,1.5238,1.5213,54064.0,N.A.
233,13:00 - 14:00,1.5217,0.0004,1.5219999999999998,1.5242,1.5188,3240.0,N.A.
234,14:00 - 15:00,1.5219999999999998,0.0003,1.5217,1.5232,1.5204,3609.0,N.A.
235,15:00 - 16:00,1.5225,0.0005,1.5219999999999998,1.5231,1.5219,3684.0,N.A.
236,16:00 - 17:00,1.5232,0.0007,1.5225,1.5236,1.5222,8098.0,N.A.
237,17:00 - 18:00,1.5192,-0.004,1.5232,1.5233,1.5190000000000001,28950.0,N.A.
238,18:00 - 19:00,1.5196,0.0004,1.5192,1.52,1.518,48381.0,N.A.
239,19:00 - 20:00,1.5199,0.0003,1.5196,1.52,1.5187,49295.0,N.A.
240,20:00 - 21:00,1.5199,0.0,1.5199,1.5205,1.5196,49102.0,N.A.
241,21:00 - 22:00,1.5191,-0.0008,1.5199,1.5201,1.5182,47797.0,N.A.
242,22:00 - 23:00,1.5189,-0.0002,1.5191,1.5193,1.5186,38845.0,N.A.
243,23:00 - 00:00,1.5196,0.0007,1.5189,1.5198,1.5183,42420.0,N.A.
245,00:00 - 01:00,1.5197,0.0001,1.5196,1.5199,1.5191,37189.0,N.A.
246,01:00 - 02:00,1.5193,-0.0004,1.5197,1.5198,1.5189,39715.0,N.A.
247,02:00 - 03:00,1.5178,-0.0015,1.5193,1.5199,1.5178,71980.0,N.A.
248,03:00 - 04:00,1.5151,-0.0027,1.5179,1.5183,1.5144,89791.0,N.A.
249,04:00 - 05:00,1.5169,0.0018,1.5151,1.5175,1.515,75179.0,N.A.
250,05:00 - 06:00,1.5157,-0.0012,1.5169,1.5179,1.5157,62609.0,N.A.
251,06:00 - 07:00,1.5119999999999998,-0.0037,1.5157,1.5159,1.5119,86384.0,N.A.
252,07:00 - 08:00,1.5109,-0.0011,1.5119999999999998,1.5136,1.5109,79048.0,N.A.
253,08:00 - 09:00,1.514,0.0031,1.5109,1.514,1.5108,101495.0,N.A.
254,09:00 - 10:00,1.5138,-0.0002,1.514,1.5146,1.5130000000000001,109222.0,N.A.
255,10:00 - 11:00,1.5116,-0.0022,1.5138,1.5155,1.5115,112686.0,N.A.
256,11:00 - 12:00,1.5129,0.0013,1.5116,1.5145,1.5115,96024.0,N.A.
257,12:00 - 13:00,1.5143,0.0014,1.5129,1.5149,1.5128,74306.0,N.A.
258,13:00 - 14:00,1.5144,0.0001,1.5143,1.5146,1.5133,53234.0,N.A.
259,14:00 - 15:00,1.514,-0.0004,1.5144,1.5158,1.514,58702.0,N.A.
260,15:00 - 16:00,1.5134,-0.0006,1.514,1.5141,1.5129,54010.0,N.A.
261,16:00 - 17:00,1.5142,0.0008,1.5134,1.5144,1.5133,41901.0,N.A.
262,17:00 - 18:00,1.5173,0.0031,1.5142,1.5186,1.5142,47623.0,N.A.
263,18:00 - 19:00,1.5158,-0.0015,1.5173,1.5174,1.5158,44331.0,N.A.
264,19:00 - 20:00,1.5155,-0.0003,1.5158,1.5161,1.5151,49078.0,N.A.
