Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
16:00 - 17:00,1.5008,0,1.5008,1.5014,1.5005,41579,N.A.
17:00 - 18:00,1.5012,0.0004,1.5008,1.5017,1.5008,35900,N.A.
18:00 - 19:00,1.501,-0.0002,1.5012,1.5014,1.5007,51811,N.A.
19:00 - 20:00,1.5006,-0.0004,1.501,1.5011,1.5005,37852,N.A.
20:00 - 21:00,1.5016,0.001,1.5006,1.5024,1.5006,39609,N.A.
21:00 - 22:00,1.5012,-0.0004,1.5016,1.5024,1.5007,48632,N.A.
22:00 - 23:00,1.5008,-0.0004,1.5012,1.5016,1.5008,42992,N.A.
23:00 - 00:00,1.5011,0.0003,1.5008,1.5015,1.5008,36945,N.A.
09DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5012,0.0001,1.5012,1.5017,1.5009,39048,N.A.
01:00 - 02:00,1.5025,0.0013,1.5012,1.5031,1.5012,40309,N.A.
02:00 - 03:00,1.5035,0.001,1.5025,1.5043,1.5021,64086,N.A.
03:00 - 04:00,1.5038,0.0003,1.5035,1.5049,1.5034,80011,N.A.
04:00 - 05:00,1.5049,0.0011,1.5038,1.5051,1.5034,74596,N.A.
05:00 - 06:00,1.5069,0.002,1.5049,1.5079,1.5049,82098,N.A.
06:00 - 07:00,1.5072,0.0003,1.5069,1.5074,1.5056,78644,N.A.
07:00 - 08:00,1.5085,0.0013,1.5072,1.5094,1.5067,69219,N.A.
08:00 - 09:00,1.5111,0.0026,1.5085,1.5116,1.5081,103935,N.A.
09:00 - 10:00,1.5144,0.0033,1.5111,1.5146,1.511,124655,N.A.
10:00 - 11:00,1.5183,0.0039,1.5144,1.5183,1.5137,122083,N.A.
11:00 - 12:00,1.5167,-0.0016,1.5183,1.5184,1.5166,108379,N.A.
12:00 - 13:00,1.5168,0.0001,1.5167,1.5168,1.5155,75155,N.A.
13:00 - 14:00,1.5183,0.0015,1.5168,1.5185,1.5164,130015,N.A.
14:00 - 15:00,1.5163,-0.002,1.5183,1.5192,1.5162,86224,N.A.
15:00 - 16:00,1.5179,0.0016,1.5163,1.5185,1.516,73661,N.A.
16:00 - 17:00,1.5181,0.0002,1.5179,1.5187,1.5177,55357,N.A.
17:00 - 18:00,1.5182,0.0001,1.5181,1.5187,1.5177,48144,N.A.
18:00 - 19:00,1.5179,-0.0003,1.5182,1.5185,1.5174,92509,N.A.
19:00 - 20:00,1.5188,0.0009,1.5179,1.5196,1.5179,60926,N.A.
20:00 - 21:00,1.5178,-0.001,1.5188,1.5188,1.5174,53676,N.A.
21:00 - 22:00,1.5173,-0.0005,1.5178,1.5178,1.517,41923,N.A.
22:00 - 23:00,1.5175,0.0002,1.5173,1.5183,1.5171,45800,N.A.
23:00 - 00:00,1.5171,-0.0004,1.5175,1.5182,1.5171,40475,N.A.
10DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5178,0.0007,1.5171,1.518,1.5171,38165,N.A.
01:00 - 02:00,1.5177,-0.0001,1.5178,1.5185,1.5172,51594,N.A.
02:00 - 03:00,1.5172,-0.0005,1.5177,1.5184,1.5167,66666,N.A.
03:00 - 04:00,1.5174,0.0002,1.5172,1.5181,1.5157,98720,N.A.
04:00 - 05:00,1.518,0.0006,1.5174,1.5189,1.5168,80441,N.A.
05:00 - 06:00,1.5176,-0.0004,1.518,1.5188,1.5169,81962,N.A.
06:00 - 07:00,1.518,0.0004,1.5176,1.5202,1.517,88136,N.A.
07:00 - 08:00,1.5136,-0.0044,1.518,1.5184,1.5111,145504,N.A.
08:00 - 09:00,1.5159,0.0023,1.5136,1.5161,1.5121,108706,N.A.
09:00 - 10:00,1.5185,0.0026,1.5159,1.5188,1.5152,96825,N.A.
10:00 - 11:00,1.5163,-0.0022,1.5185,1.5187,1.5159,99342,N.A.
11:00 - 12:00,1.5174,0.0011,1.5163,1.5184,1.5163,74838,N.A.
12:00 - 13:00,1.5168,-0.0006,1.5174,1.5182,1.5166,58891,N.A.
