Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
13:30 - 14:30,1334.73,-9.07,1343.58,1343.59,1333.96,240,N.A.
14:30 - 15:30,1334.72,-0.01,1335.08,1337.07,1331.71,240,N.A.
15:30 - 16:30,1330.63,-4.09,1334.58,1334.89,1325.42,180,N.A.
03MAR2008_00:00:00.000,,,,,,,
09:30 - 10:30,1333.27,2.64,1330.45,1334.36,1322.08,240,N.A.
10:30 - 11:30,1328.13,-5.14,1333.01,1333.01,1324.62,240,N.A.
11:30 - 12:30,1334.37,6.24,1328.02,1334.85,1327.44,240,N.A.
12:30 - 13:30,1330.21,-4.16,1333.83,1335.13,1328.28,240,N.A.
13:30 - 14:30,1325.56,-4.65,1330.29,1333.18,1324.15,240,N.A.
14:30 - 15:30,1326.89,1.33,1325.88,1327.76,1320.04,240,N.A.
15:30 - 16:30,1331.34,4.45,1326.7,1331.85,1326.26,180,N.A.
04MAR2008_00:00:00.000,,,,,,,
09:30 - 10:30,1322.6,-8.74,1329.58,1329.58,1320,240,N.A.
10:30 - 11:30,1316.02,-6.58,1322.21,1322.3,1311.97,240,N.A.
11:30 - 12:30,1316.62,0.6,1316.02,1317.03,1312.34,240,N.A.
12:30 - 13:30,1316.22,-0.4,1316.74,1318.61,1310.49,240,N.A.
13:30 - 14:30,1310.86,-5.36,1316.34,1316.39,1307.39,240,N.A.
14:30 - 15:30,1322.14,11.28,1310.46,1327.69,1309.45,240,N.A.
15:30 - 16:30,1326.75,4.61,1321.55,1331.03,1321.23,180,N.A.
05MAR2008_00:00:00.000,,,,,,,
09:30 - 10:30,1338.1,11.35,1327.69,1341.31,1327.69,240,N.A.
10:30 - 11:30,1337.74,-0.36,1338.17,1339.03,1335,240,N.A.
11:30 - 12:30,1334.42,-3.32,1337.06,1344.19,1333.36,240,N.A.
12:30 - 13:30,1327.73,-6.69,1335.69,1337.53,1326.83,240,N.A.
13:30 - 14:30,1327.72,-0.01,1327.25,1328.53,1320.22,240,N.A.
14:30 - 15:30,1329.68,1.96,1327.63,1332.55,1324.45,240,N.A.
15:30 - 16:30,1333.7,4.02,1328.86,1334.01,1328.64,180,N.A.
06MAR2008_00:00:00.000,,,,,,,
09:30 - 10:30,1320.38,-13.32,1332.2,1332.2,1316.17,240,N.A.
10:30 - 11:30,1318.13,-2.25,1320.95,1323.12,1315.49,240,N.A.
