Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
21:00 - 22:00,117.19,-0.15,117.34,117.39,117.08,15713,N.A.
22:00 - 23:00,116.99,-0.2,117.19,117.34,116.97,14239,N.A.
23:00 - 00:00,117.23,0.24,116.99,117.32,116.79,17540,N.A.
15JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,117.2,-0.03,117.23,117.24,116.99,14573,N.A.
01:00 - 02:00,117.49,0.29,117.2,117.73,117.13,21070,N.A.
02:00 - 03:00,117.12,-0.37,117.49,117.51,117.04,23502,N.A.
03:00 - 04:00,116.54,-0.58,117.12,117.51,116.45,29390,N.A.
04:00 - 05:00,116.8,0.26,116.54,117.39,116.49,33264,N.A.
05:00 - 06:00,117.04,0.24,116.8,117.21,116.79,27472,N.A.
06:00 - 07:00,117.38,0.34,117.04,117.39,116.91,27247,N.A.
07:00 - 08:00,117,-0.38,117.38,117.5,116.73,29647,N.A.
08:00 - 09:00,117.71,0.71,117,117.91,116.75,34521,N.A.
09:00 - 10:00,116.6,-1.11,117.71,118.37,116.56,41342,N.A.
10:00 - 11:00,117.2,0.6,116.6,117.23,116.23,39165,N.A.
11:00 - 12:00,117.31,0.11,117.2,117.42,117.01,31401,N.A.
12:00 - 13:00,116.76,-0.55,117.31,117.33,116.62,23749,N.A.
13:00 - 14:00,117.92,1.16,116.76,117.96,116.74,23550,N.A.
14:00 - 15:00,118.03,0.11,117.93,118.65,117.81,30994,N.A.
15:00 - 16:00,118.16,0.13,118.03,118.29,117.71,23381,N.A.
16:00 - 17:00,117.87,-0.29,118.16,118.26,117.84,13353,N.A.
17:00 - 18:00,118.09,0.22,117.87,118.19,117.77,11300,N.A.
18:00 - 19:00,118.4,0.31,118.09,118.42,118.06,12725,N.A.
19:00 - 20:00,118.47,0.07,118.4,118.64,118.22,17683,N.A.
20:00 - 21:00,118.93,0.46,118.47,119.17,118.45,18832,N.A.
21:00 - 22:00,119.01,0.08,118.93,119.03,118.62,16290,N.A.
22:00 - 23:00,119.49,0.48,119.01,119.59,118.99,18106,N.A.
23:00 - 00:00,119.53,0.04,119.49,119.6,119.44,15679,N.A.
16JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,119.66,0.13,119.53,119.76,119.47,18503,N.A.
01:00 - 02:00,119.56,-0.1,119.66,119.99,119.46,19584,N.A.
02:00 - 03:00,119.54,-0.02,119.56,119.75,119.32,24503,N.A.
03:00 - 04:00,119.49,-0.05,119.54,119.72,118.87,28932,N.A.
04:00 - 05:00,119.78,0.29,119.49,119.9,119.2,28375,N.A.
05:00 - 06:00,120.23,0.45,119.78,120.45,119.69,25627,N.A.
06:00 - 07:00,120.58,0.35,120.23,120.72,119.9,28220,N.A.
07:00 - 08:00,120.12,-0.46,120.58,120.6,119.96,23559,N.A.
08:00 - 09:00,120.23,0.11,120.12,120.29,119.93,26552,N.A.
09:00 - 10:00,120.12,-0.11,120.23,120.69,120.01,29770,N.A.
10:00 - 11:00,120.08,-0.04,120.12,120.38,119.76,32068,N.A.
11:00 - 12:00,119.57,-0.51,120.08,120.18,119.53,28662,N.A.
12:00 - 13:00,119.66,0.09,119.57,119.81,119.17,23991,N.A.
13:00 - 14:00,119.96,0.3,119.66,120.01,119.57,19038,N.A.
14:00 - 15:00,120.49,0.53,119.96,120.53,119.86,19832,N.A.
15:00 - 16:00,120.39,-0.1,120.49,120.6,120.27,12393,N.A.
16:00 - 17:00,120.37,-0.02,120.39,120.7,120.25,8852,N.A.
18JAN2009_00:00:00.000,,,,,,,
14:00 - 15:00,121.15,0.78,120.58,121.19,120.55,978,N.A.
15:00 - 16:00,121.05,-0.1,121.15,121.27,121.05,1020,N.A.
16:00 - 17:00,121.35,0.3,121.05,121.42,121,4187,N.A.
