Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
08:00 - 09:00,119.46,-0.27,119.73,119.84,119.42,98374,N.A.
09:00 - 10:00,119.53,0.07,119.46,119.66,119.39,108841,N.A.
10:00 - 11:00,119.68,0.15,119.53,119.73,119.52,120499,N.A.
11:00 - 12:00,119.52,-0.16,119.68,119.69,119.52,76996,N.A.
12:00 - 13:00,119.53,0.01,119.52,119.57,119.45,61434,N.A.
13:00 - 14:00,119.61,0.08,119.53,119.73,119.49,58241,N.A.
14:00 - 15:00,119.68,0.07,119.61,119.77,119.59,63843,N.A.
15:00 - 16:00,119.65,-0.03,119.68,119.73,119.62,57587,N.A.
16:00 - 17:00,119.66,0.01,119.65,119.69,119.62,42054,N.A.
17:00 - 18:00,119.76,0.1,119.66,119.83,119.64,44458,N.A.
18:00 - 19:00,119.8,0.04,119.76,119.88,119.75,57285,N.A.
19:00 - 20:00,119.82,0.02,119.8,119.85,119.74,62981,N.A.
20:00 - 21:00,119.57,-0.25,119.82,119.82,119.47,76649,N.A.
21:00 - 22:00,119.49,-0.08,119.57,119.63,119.41,64546,N.A.
22:00 - 23:00,119.55,0.06,119.49,119.59,119.47,46388,N.A.
23:00 - 00:00,119.35,-0.2,119.55,119.55,119.27,57246,N.A.
09JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,119.33,-0.02,119.35,119.36,119.17,59090,N.A.
01:00 - 02:00,119.43,0.1,119.33,119.48,119.32,51411,N.A.
02:00 - 03:00,119.44,0.01,119.43,119.49,119.32,59346,N.A.
03:00 - 04:00,119.39,-0.05,119.44,119.44,119.29,74724,N.A.
04:00 - 05:00,119.33,-0.06,119.39,119.44,119.31,67036,N.A.
05:00 - 06:00,119.22,-0.11,119.33,119.35,119.18,71569,N.A.
06:00 - 07:00,119.27,0.05,119.22,119.3,119.2,63029,N.A.
07:00 - 08:00,119.19,-0.08,119.27,119.3,119.17,58085,N.A.
08:00 - 09:00,119.51,0.32,119.19,119.77,118.81,147524,N.A.
09:00 - 10:00,119.16,-0.35,119.51,119.66,119.1,113685,N.A.
10:00 - 11:00,118.87,-0.29,119.16,119.17,118.74,133930,N.A.
11:00 - 12:00,118.66,-0.21,118.87,118.87,118.42,154156,N.A.
12:00 - 13:00,118.57,-0.09,118.66,118.69,118.51,88568,N.A.
13:00 - 14:00,118.52,-0.05,118.57,118.62,118.51,73788,N.A.
14:00 - 15:00,118.57,0.05,118.52,118.6,118.51,65866,N.A.
15:00 - 16:00,118.55,-0.02,118.57,118.67,118.5,61221,N.A.
16:00 - 17:00,118.5,-0.05,118.55,118.57,118.46,47856,N.A.
11JAN2015_00:00:00.000,,,,,,,
13:00 - 14:00,118.42,-0.08,118.51,118.51,118.42,1134,N.A.
14:00 - 15:00,118.32,-0.1,118.42,118.44,118.31,5053,N.A.
15:00 - 16:00,118.27,-0.05,118.32,118.32,118.22,8295,N.A.
16:00 - 17:00,118.34,0.07,118.27,118.4,118.27,12281,N.A.
17:00 - 18:00,118.24,-0.1,118.34,118.43,118.24,37186,N.A.
18:00 - 19:00,118.23,-0.01,118.24,118.35,118.13,52749,N.A.
19:00 - 20:00,118.31,0.08,118.23,118.37,118.21,50019,N.A.
20:00 - 21:00,118.39,0.08,118.31,118.41,118.25,45697,N.A.
21:00 - 22:00,118.4,0.01,118.39,118.51,118.35,44976,N.A.
22:00 - 23:00,118.3,-0.1,118.4,118.4,118.22,47082,N.A.
23:00 - 00:00,118.28,-0.02,118.3,118.32,118.24,39229,N.A.
12JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.12,-0.16,118.28,118.28,118.1,52193,N.A.
01:00 - 02:00,118.27,0.15,118.12,118.31,118.12,48780,N.A.
02:00 - 03:00,118.33,0.06,118.27,118.4,118.22,56833,N.A.
03:00 - 04:00,118.73,0.4,118.33,118.81,118.3,88099,N.A.
04:00 - 05:00,119.14,0.41,118.73,119.15,118.73,78571,N.A.
05:00 - 06:00,119.18,0.04,119.14,119.32,119.14,74017,N.A.
06:00 - 07:00,119.24,0.06,119.18,119.28,119.18,59186,N.A.
07:00 - 08:00,119.19,-0.05,119.24,119.26,119.02,64704,N.A.
